"rank","title","artist"
"1","Rare","Selena Gomez"
"2","Please Excuse Me For Being Antisocial","Roddy Ricch"
"3","Time Served","Moneybagg Yo"
"4","Hollywood's Bleeding","Post Malone"
"5","KIRK","DaBaby"
"6","Fine Line","Harry Styles"
"7","JACKBOYS","JACKBOYS"
"8","Frozen II","Soundtrack"
"9","When We All Fall Asleep, Where Do We Go?","Billie Eilish"
"10","So Much Fun","Young Thug"
"11","Over It","Summer Walker"
"12","AI YoungBoy 2","YoungBoy Never Broke Again"
"13","Ghetto Gospel","Rod Wave"
"14","A Love Letter To You 4","Trippie Redd"
"15","What You See Is What You Get","Luke Combs"
"16","Goodbye & Good Riddance","Juice WRLD"
"17","Lover","Taylor Swift"
"18","Romance","Camila Cabello"
"19","beerbongs & bentleys","Post Malone"
"20","Death Race For Love","Juice WRLD"
"21","Divinely Uninspired To A Hellish Extent","Lewis Capaldi"
"22","QPac","Quando Rondo"
"23","No.6 Collaborations Project","Ed Sheeran"
"24","Perfect Ten","Mustard"
"25","Melly vs. Melvin","YNW Melly"
"26","Indigo","Chris Brown"
"27","Scorpion","Drake"
"28","ASTROWORLD","Travis Scott"
"29","Dont Smile At Me","Billie Eilish"
"30","Cuz I Love You","Lizzo"
"31","High School Musical: The Musical, The Series","Soundtrack"
"32","Greatest Hits","Queen"
"33","This One's For You","Luke Combs"
"34","The Kids Are Coming (EP)","Tones And I"
"35","Hot Pink","Doja Cat"
"36","Free Spirit","Khalid"
"37","Stoney","Post Malone"
"38","True 2 Myself","Lil Tjay"
"39","7 (EP)","Lil Nas X"
"40","We Love You Tecca","Lil Tecca"
"41","Baby On Baby","DaBaby"
"42","?","XXXTENTACION"
"43","Thank U, Next","Ariana Grande"
"44","Diamonds","Elton John"
"45","The Spirit Of Radio: Greatest Hits 1974 - 1987","Rush"
"46","Swimming","Mac Miller"
"47","The Search","NF"
"48","Dreamville & J. Cole: Revenge Of The Dreamers III","Various Artists"
"49","Fully Loaded: God's Country","Blake Shelton"
"50","Hamilton: An American Musical","Original Broadway Cast"
"51","Shawn Mendes","Shawn Mendes"
"52","Quality Control: Control The Streets, Volume 2","Various Artists"
"53","If I Know Me","Morgan Wallen"
"54","Hoodie SZN","A Boogie Wit da Hoodie"
"55","÷ (Divide)","Ed Sheeran"
"56","American Teen","Khalid"
"57","Happiness Begins","Jonas Brothers"
"58","9","Jason Aldean"
"59","Luv Is Rage 2","Lil Uzi Vert"
"60","Look Up Child","Lauren Daigle"
"61","Chixtape 5","Tory Lanez"
"62","Die A Legend","Polo G"
"63","Invasion Of Privacy","Cardi B"
"64","Experiment","Kane Brown"
"65","Dan + Shay","Dan + Shay"
"66","Frozen","Soundtrack"
"67","Homesick (EP)","Trevor Daniel"
"68","Chronicle The 20 Greatest Hits","Creedence Clearwater Revival"
"69","DAMN.","Kendrick Lamar"
"70","GIRL","Maren Morris"
"71","The Greatest Showman","Soundtrack"
"72","I'm Him","Kevin Gates"
"73","Journey's Greatest Hits","Journey"
"74","Abbey Road","The Beatles"
"75","Championships","Meek Mill"
"76","Traveller","Chris Stapleton"
"77","1","The Beatles"
"78","Take Care","Drake"
"79","Drip Harder","Lil Baby & Gunna"
"80","X 100PRE","Bad Bunny"
"81","Old Dominion","Old Dominion"
"82","Views","Drake"
"83","GINGER","BrockHampton"
"84","Legend: The Best Of...","Bob Marley And The Wailers"
"85","Rumours","Fleetwood Mac"
"86","Coconut Oil (EP)","Lizzo"
"87","Starboy","The Weeknd"
"88","Beauty Behind The Madness","The Weeknd"
"89","17","XXXTENTACION"
"90","2014 Forest Hills Drive","J. Cole"
"91","The Essential Billy Joel","Billy Joel"
"92","Moana","Soundtrack"
"93","Cottonwood","NLE Choppa"
"94","Evolve","Imagine Dragons"
"95","Greatest Hits","2Pac"
"96","A Star Is Born (Soundtrack)","Lady Gaga & Bradley Cooper"
"97","JESUS IS KING (Soundtrack)","Kanye West"
"98","Greatest Hits","Tom Petty And The Heartbreakers"
"99","Perception","NF"
"100","Feed Tha Streets II","Roddy Ricch"
"101","good kid, m.A.A.d city","Kendrick Lamar"
"102","More Life","Drake"
"103","I Am > I Was","21 Savage"
"104","Back In Black","AC/DC"
"105","Victory Lap","Nipsey Hussle"
"106","IGOR","Tyler, The Creator"
"107","Life's A Trip","Trippie Redd"
"108","Birds In The Trap Sing McKnight","Travis Scott"
"109","Certified Hitmaker","Lil Mosey"
"110","Greatest Hits","Guns N' Roses"
"111","Harder Than Ever","Lil Baby"
"112","1989","Taylor Swift"
"113","Summertime Shootout 3: Coldest Summer Ever","Fabolous"
"114","Ella Mai","Ella Mai"
"115","World War Joy","The Chainsmokers"
"116","Pray For The Wicked","Panic! At The Disco"
"117","Kane Brown","Kane Brown"
"118","Fever","Megan Thee Stallion"
"119","The Eminem Show","Eminem"
"120","Blonde","Frank Ocean"
"121","Bad Vibes Forever","XXXTENTACION"
"122","Wow... That's Crazy","Wale"
"123","Greatest Hits","The Notorious B.I.G."
"124","The Essential Michael Jackson","Michael Jackson"
"125","T R A P S O U L","Bryson Tiller"
"126","Ctrl","SZA"
"127","H.E.R.","H.E.R."
"128","I Am You","YNW Melly"
"129","Sweetener","Ariana Grande"
"130","I Disagree","Poppy"
"131","21","Adele"
"132","A Decade Of Destruction","Five Finger Death Punch"
"133","Cosmic","Bazzi"
"134","Until Death Call My Name","YoungBoy Never Broke Again"
"135","x","Ed Sheeran"
"136","Doo-Wops & Hooligans","Bruno Mars"
"137","Metallica","Metallica"
"138","Ultimate Sinatra","Frank Sinatra"
"139","Die Lit","Playboi Carti"
"140","Nothing Was The Same","Drake"
"141","The Essential Elvis Presley","Elvis Presley"
"142","Center Point Road","Thomas Rhett"
"143","In The Lonely Hour","Sam Smith"
"144","Blurryface","twenty one pilots"
"145","Ocean","Lady Antebellum"
"146","Thriller","Michael Jackson"
"147","Tha Carter V","Lil Wayne"
"148","Nevermind","Nirvana"
"149","Greatest Hits","Bob Seger & The Silver Bullet Band"
"150","Their Greatest Hits 1971-1975","Eagles"
"151","BALLADS 1","Joji"
"152","hopeless fountain kingdom","Halsey"
"153","ANTI","Rihanna"
"154","Dying To Live","Kodak Black"
"155","Currents","Tame Impala"
"156","Oasis","J Balvin & Bad Bunny"
"157","K-12 (Soundtrack)","Melanie Martinez"
"158","Night Visions","Imagine Dragons"
"159","Norman Fucking Rockwell!","Lana Del Rey"
"160","Drip Or Drown 2","Gunna"
"161","Culture II","Migos"
"162","Marshmello: Fortnite Extended Set","Marshmello"
"163","Greatest Hits So Far...","Zac Brown Band"
"164","LOVE FOR GUALA","Flipp Dinero"
"165","MELT (Deluxe)","SHAED"
"166","Kamikaze","Eminem"
"167","A Love Letter To You 3","Trippie Redd"
"168","Heartache Medication","Jon Pardi"
"169","Re-Dunn","Ronnie Dunn"
"170","Golden Hour","Kacey Musgraves"
"171","reputation","Taylor Swift"
"172","Map Of The Soul: PERSONA","BTS"
"173","Future & Juice WRLD Present... WRLD ON DRUGS","Future & Juice WRLD"
"174","Born To Die","Lana Del Rey"
"175","Rearview Town","Jason Aldean"
