"rank","title","artist"
"1","My Turn","Lil Baby"
"2","YHLQMDLG","Bad Bunny"
"3","MAP OF THE SOUL : 7","BTS"
"4","American Standard","James Taylor"
"5","Please Excuse Me For Being Antisocial","Roddy Ricch"
"6","Changes","Justin Bieber"
"7","PTSD","G Herbo"
"8","F8","Five Finger Death Punch"
"9","Hollywood's Bleeding","Post Malone"
"10","Still Flexin, Still Steppin","YoungBoy Never Broke Again"
"11","Artist 2.0","A Boogie Wit da Hoodie"
"12","Fine Line","Harry Styles"
"13","When We All Fall Asleep, Where Do We Go?","Billie Eilish"
"14","Meet The Woo, V.2","Pop Smoke"
"15","Frozen II","Soundtrack"
"16","Music To Be Murdered By","Eminem"
"17","Hot Pink","Doja Cat"
"18","Manic","Halsey"
"19","A Love Letter To You 4","Trippie Redd"
"20","KIRK","DaBaby"
"21","Lover","Taylor Swift"
"22","What You See Is What You Get","Luke Combs"
"23","Ordinary Man","Ozzy Osbourne"
"24","Over It","Summer Walker"
"25","JACKBOYS","JACKBOYS"
"26","beerbongs & bentleys","Post Malone"
"27","Ghetto Gospel","Rod Wave"
"28","Cuz I Love You","Lizzo"
"29","Goodbye & Good Riddance","Juice WRLD"
"30","This One's For You","Luke Combs"
"31","Divinely Uninspired To A Hellish Extent","Lewis Capaldi"
"32","AI YoungBoy 2","YoungBoy Never Broke Again"
"33","So Much Fun","Young Thug"
"34","Greatest Hits","Queen"
"35","Scorpion","Drake"
"36","Romance","Camila Cabello"
"37","Death Race For Love","Juice WRLD"
"38","Dont Smile At Me","Billie Eilish"
"39","The Slow Rush","Tame Impala"
"40","ASTROWORLD","Travis Scott"
"41","Rare","Selena Gomez"
"42","Funeral","Lil Wayne"
"43","Stoney","Post Malone"
"44","If I Know Me","Morgan Wallen"
"45","Indigo","Chris Brown"
"46","No.6 Collaborations Project","Ed Sheeran"
"47","Time Served","Moneybagg Yo"
"48","The Kids Are Coming (EP)","Tones And I"
"49","Certified Hitmaker","Lil Mosey"
"50","Diamonds","Elton John"
"51","Perfect Ten","Mustard"
"52","Fully Loaded: God's Country","Blake Shelton"
"53","Free Spirit","Khalid"
"54","?","XXXTENTACION"
"55","Luv Is Rage 2","Lil Uzi Vert"
"56","Thank U, Next","Ariana Grande"
"57","7 (EP)","Lil Nas X"
"58","Dreamville & J. Cole: Revenge Of The Dreamers III","Various Artists"
"59","True 2 Myself","Lil Tjay"
"60","Circles","Mac Miller"
"61","÷ (Divide)","Ed Sheeran"
"62","Hamilton: An American Musical","Original Broadway Cast"
"63","Experiment","Kane Brown"
"64","American Teen","Khalid"
"65","Chronicle The 20 Greatest Hits","Creedence Clearwater Revival"
"66","Baby On Baby","DaBaby"
"67","The Search","NF"
"68","Hoodie SZN","A Boogie Wit da Hoodie"
"69","GIRL","Maren Morris"
"70","Legend: The Best Of...","Bob Marley And The Wailers"
"71","Shawn Mendes","Shawn Mendes"
"72","Starboy","The Weeknd"
"73","Traveller","Chris Stapleton"
"74","X 100PRE","Bad Bunny"
"75","Invasion Of Privacy","Cardi B"
"76","Journey's Greatest Hits","Journey"
"77","ZOMBIES 2","Soundtrack"
"78","Melly vs. Melvin","YNW Melly"
"79","Look Up Child","Lauren Daigle"
"80","DAMN.","Kendrick Lamar"
"81","Beauty Behind The Madness","The Weeknd"
"82","We Love You Tecca","Lil Tecca"
"83","Dan + Shay","Dan + Shay"
"84","Rumours","Fleetwood Mac"
"85","1","The Beatles"
"86","Happiness Begins","Jonas Brothers"
"87","Greatest Hits","2Pac"
"88","Take Care","Drake"
