"rank","title","artist"
"1","Funeral","Lil Wayne"
"2","Please Excuse Me For Being Antisocial","Roddy Ricch"
"3","Music To Be Murdered By","Eminem"
"4","SHAKE THE SNOW GLOBE","Russ"
"5","Hollywood's Bleeding","Post Malone"
"6","When We All Fall Asleep, Where Do We Go?","Billie Eilish"
"7","High Road","Kesha"
"8","Manic","Halsey"
"9","Walls","Louis Tomlinson"
"10","Untrapped","Yo Gotti"
"11","Lover","Taylor Swift"
"12","KIRK","DaBaby"
"13","Fine Line","Harry Styles"
"14","Yellow Tape","Key Glock"
"15","JACKBOYS","JACKBOYS"
"16","Circles","Mac Miller"
"17","Cuz I Love You","Lizzo"
"18","Frozen II","Soundtrack"
"19","Over It","Summer Walker"
"20","What You See Is What You Get","Luke Combs"
"21","Time Served","Moneybagg Yo"
"22","So Much Fun","Young Thug"
"23","Ghetto Gospel","Rod Wave"
"24","AI YoungBoy 2","YoungBoy Never Broke Again"
"25","Treat Myself","Meghan Trainor"
"26","Dont Smile At Me","Billie Eilish"
"27","Goodbye & Good Riddance","Juice WRLD"
"28","Romance","Camila Cabello"
"29","beerbongs & bentleys","Post Malone"
"30","A Love Letter To You 4","Trippie Redd"
"31","Divinely Uninspired To A Hellish Extent","Lewis Capaldi"
"32","Rare","Selena Gomez"
"33","Death Race For Love","Juice WRLD"
"34","7 (EP)","Lil Nas X"
"35","Scorpion","Drake"
"36","Hot Pink","Doja Cat"
"37","This One's For You","Luke Combs"
"38","ASTROWORLD","Travis Scott"
"39","Greatest Hits","Queen"
"40","No.6 Collaborations Project","Ed Sheeran"
"41","Perfect Ten","Mustard"
"42","Dreamville & J. Cole: Revenge Of The Dreamers III","Various Artists"
"43","The Kids Are Coming (EP)","Tones And I"
"44","Indigo","Chris Brown"
"45","Dave's Picks Volume 33: Evans Field House, N. Illinois University, Dekalb,","Grateful Dead"
"46","Fully Loaded: God's Country","Blake Shelton"
"47","Thank U, Next","Ariana Grande"
"48","Stoney","Post Malone"
"49","Melly vs. Melvin","YNW Melly"
"50","Free Spirit","Khalid"
"51","All Monsters Are Human","K. Michelle"
"52","?","XXXTENTACION"
"53","True 2 Myself","Lil Tjay"
"54","Diamonds","Elton John"
"55","If I Know Me","Morgan Wallen"
"56","Hamilton: An American Musical","Original Broadway Cast"
"57","We Love You Tecca","Lil Tecca"
"58","Baby On Baby","DaBaby"
"59","÷ (Divide)","Ed Sheeran"
"60","The Search","NF"
"61","Dance Again ... The Hits","Jennifer Lopez"
"62","Shawn Mendes","Shawn Mendes"
"63","Hoodie SZN","A Boogie Wit da Hoodie"
"64","IGOR","Tyler, The Creator"
"65","The Unraveling","Drive-By Truckers"
"66","Dan + Shay","Dan + Shay"
"67","American Teen","Khalid"
"68","9","Jason Aldean"
"69","Luv Is Rage 2","Lil Uzi Vert"
"70","Homesick (EP)","Trevor Daniel"
"71","Quality Control: Control The Streets, Volume 2","Various Artists"
"72","1989","Taylor Swift"
"73","Invasion Of Privacy","Cardi B"
"74","Happiness Begins","Jonas Brothers"
"75","DAMN.","Kendrick Lamar"
"76","Chronicle The 20 Greatest Hits","Creedence Clearwater Revival"
"77","Experiment","Kane Brown"
"78","reputation","Taylor Swift"
"79","Traveller","Chris Stapleton"
"80","Legend: The Best Of...","Bob Marley And The Wailers"
"81","X 100PRE","Bad Bunny"
"82","GIRL","Maren Morris"
"83","Journey's Greatest Hits","Journey"
"84","Frozen","Soundtrack"
"85","I'm Him","Kevin Gates"
"86","Die A Legend","Polo G"
"87","Look Up Child","Lauren Daigle"
"88","Abbey Road","The Beatles"
"89","Take Care","Drake"
"90","1","The Beatles"
"91","Championships","Meek Mill"
"92","The Greatest Showman","Soundtrack"
"93","Rumours","Fleetwood Mac"
"94","Moana","Soundtrack"
"95","Swimming","Mac Miller"
"96","Views","Drake"
"97","Starboy","The Weeknd"
"98","Drip Harder","Lil Baby & Gunna"
"99","2014 Forest Hills Drive","J. Cole"
"100","Easy Money Baby","Myke Towers"
"101","Beauty Behind The Madness","The Weeknd"
"102","Greatest Hits","2Pac"
"103","Chixtape 5","Tory Lanez"
"104","17","XXXTENTACION"
"105","Old Dominion","Old Dominion"
"106","good kid, m.A.A.d city","Kendrick Lamar"
"107","Evolve","Imagine Dragons"
"108","High School Musical: The Musical, The Series","Soundtrack"
"109","Greatest Hits","Tom Petty And The Heartbreakers"
"110","Greatest Hits","The Notorious B.I.G."
"111","Greatest Hits","Guns N' Roses"
"112","Victory Lap","Nipsey Hussle"
"113","Feed Tha Streets II","Roddy Ricch"
"114","Birds In The Trap Sing McKnight","Travis Scott"
"115","Back In Black","AC/DC"
"116","Say Nothing","Theory Of A Deadman"
"117","More Life","Drake"
"118","H.E.R.","H.E.R."
"119","A Star Is Born (Soundtrack)","Lady Gaga & Bradley Cooper"
"120","Ctrl","SZA"
"121","Perception","NF"
"122","The Eminem Show","Eminem"
"123","GINGER","BrockHampton"
"124","I Am > I Was","21 Savage"
"125","Center Point Road","Thomas Rhett"
"126","Tha Carter V","Lil Wayne"
"127","The Essential Michael Jackson","Michael Jackson"
"128","Bad Boys For Life: The Soundtrack","Soundtrack"
"129","Ella Mai","Ella Mai"
"130","Kane Brown","Kane Brown"
"131","The Black Parade","My Chemical Romance"
"132","Life's A Trip","Trippie Redd"
"133","Harder Than Ever","Lil Baby"
"134","RICH YOUNGIN","Stunna 4 Vegas"
"135","Tha Carter III","Lil Wayne"
"136","Pray For The Wicked","Panic! At The Disco"
"137","Norman Fucking Rockwell!","Lana Del Rey"
"138","Doo-Wops & Hooligans","Bruno Mars"
"139","Greatest Hits","Bob Seger & The Silver Bullet Band"
"140","Until Death Call My Name","YoungBoy Never Broke Again"
"141","Flower Boy","Tyler, The Creator"
