"rank","title","artist"
"1","Here And Now","Kenny Chesney"
"2","Dark Lane Demo Tapes","Drake"
"3","My Turn","Lil Baby"
"4","BLAME IT ON BABY","DaBaby"
"5","Eternal Atake","Lil Uzi Vert"
"6","After Hours","The Weeknd"
"7","Suga","Megan Thee Stallion"
"8","Hollywood's Bleeding","Post Malone"
"9","Hot Pink","Doja Cat"
"10","YHLQMDLG","Bad Bunny"
"11","Please Excuse Me For Being Antisocial","Roddy Ricch"
"12","What You See Is What You Get","Luke Combs"
"13","38 Baby 2","YoungBoy Never Broke Again"
"14","When We All Fall Asleep, Where Do We Go?","Billie Eilish"
"15","Chilombo","Jhene Aiko"
"16","Future Nostalgia","Dua Lipa"
"17","This One's For You","Luke Combs"
"18","Pray 4 Love","Rod Wave"
"19","Fine Line","Harry Styles"
"20","ASTROWORLD","Travis Scott"
"21","If I Know Me","Morgan Wallen"
"22","Dave's Picks: Volume 34: Jai-Alai Fronton, Miami, FL - 06/23/74","Grateful Dead"
"23","Changes","Justin Bieber"
"24","Frozen II","Soundtrack"
"25","beerbongs & bentleys","Post Malone"
"26","Greatest Hits","Queen"
"27","Goodbye & Good Riddance","Juice WRLD"
"28","SOUTHSIDE","Sam Hunt"
"29","Divinely Uninspired To A Hellish Extent","Lewis Capaldi"
"30","Meet The Woo, V.2","Pop Smoke"
"31","Over It","Summer Walker"
"32","Lover","Taylor Swift"
"33","Good To Know","JoJo"
"34","Graves Into Gardens","Elevation Worship"
"35","Fully Loaded: God's Country","Blake Shelton"
"36","Scorpion","Drake"
"37","JACKBOYS","JACKBOYS"
"38","The New Toronto 3","Tory Lanez"
"39","Death Race For Love","Juice WRLD"
"40","Legend: The Best Of...","Bob Marley And The Wailers"
"41","MAP OF THE SOUL : 7","BTS"
"42","Diamonds","Elton John"
"43","Beyond Bulletproof","Mozzy"
"44","Ghetto Gospel","Rod Wave"
"45","Manic","Halsey"
"46","KIRK","DaBaby"
"47","Dont Smile At Me","Billie Eilish"
"48","Stoney","Post Malone"
"49","Cuz I Love You","Lizzo"
"50","Music To Be Murdered By","Eminem"
"51","Heaven Or Hell","Don Toliver"
"52","Certified Hitmaker","Lil Mosey"
"53","Chronicle The 20 Greatest Hits","Creedence Clearwater Revival"
"54","TROLLS: World Tour","Soundtrack"
"55","Slime & B","Chris Brown & Young Thug"
"56","Artist 2.0","A Boogie Wit da Hoodie"
"57","So Much Fun","Young Thug"
"58","Journey's Greatest Hits","Journey"
"59","AI YoungBoy 2","YoungBoy Never Broke Again"
"60","Rumours","Fleetwood Mac"
"61","Collection One","SAINt JHN"
"62","Free Spirit","Khalid"
"63","Romance","Camila Cabello"
"64","A Love Letter To You 4","Trippie Redd"
"65","Traveller","Chris Stapleton"
"66","?","XXXTENTACION"
"67","Still Flexin, Still Steppin","YoungBoy Never Broke Again"
"68","Thank U, Next","Ariana Grande"
"69","American Teen","Khalid"
"70","Indigo","Chris Brown"
"71","÷ (Divide)","Ed Sheeran"
"72","GIRL","Maren Morris"
"73","1","The Beatles"
"74","Birds In The Trap Sing McKnight","Travis Scott"
"75","Moana","Soundtrack"
"76","Hamilton: An American Musical","Original Broadway Cast"
"77","Greatest Hits","Tom Petty And The Heartbreakers"
"78","Rare","Selena Gomez"
"79","The Essential Billy Joel","Billy Joel"
"80","Invasion Of Privacy","Cardi B"
"81","No.6 Collaborations Project","Ed Sheeran"
"82","Abbey Road","The Beatles"
"83","Luv Is Rage 2","Lil Uzi Vert"
"84","Sweet Action","Jack Harlow"
"85","Kiss 5","K Camp"
"86","The Greatest Showman","Soundtrack"
"87","Perfect Ten","Mustard"
"88","Appetite For Destruction","Guns N' Roses"
"89","Greatest Hits","2Pac"
"90","Take Care","Drake"
"91","Experiment","Kane Brown"
"92","Views","Drake"
"93","True 2 Myself","Lil Tjay"
"94","7 (EP)","Lil Nas X"
"95","Back In Black","AC/DC"
"96","Dan + Shay","Dan + Shay"
"97","PARTYMOBILE","PARTYNEXTDOOR"
"98","Cry Baby","Melanie Martinez"
"99","Dreamville & J. Cole: Revenge Of The Dreamers III","Various Artists"
"100","Greatest Hits","The Notorious B.I.G."
"101","Time Served","Moneybagg Yo"
"102","DAMN.","Kendrick Lamar"
"103","The Search","NF"
"104","Look Up Child","Lauren Daigle"
"105","Melly vs. Melvin","YNW Melly"
"106","Shawn Mendes","Shawn Mendes"
"107","ADHD","Joyner Lucas"
"108","All Time Greatest Hits","Lynyrd Skynyrd"
"109","Center Point Road","Thomas Rhett"
"110","Old Dominion","Old Dominion"
"111","Greatest Hits So Far...","Zac Brown Band"
"112","K.I.D.S. (Kickin Incredibly Dope Shit)","Mac Miller"
"113","The Kids Are Coming (EP)","Tones And I"
"114","Kane Brown","Kane Brown"
"115","Starboy","The Weeknd"
"116","Hoodie SZN","A Boogie Wit da Hoodie"
"117","Where The Light Is","Surfaces"
"118","Sounds Of Summer: The Very Best Of The Beach Boys","The Beach Boys"
"119","Beauty Behind The Madness","The Weeknd"
"120","Circles","Mac Miller"
"121","kelsea","Kelsea Ballerini"
"122","Happiness Begins","Jonas Brothers"
"123","Greatest Hits: God's Favorite Band","Green Day"
"124","Their Greatest Hits 1971-1975","Eagles"
"125","The Essential Michael Jackson","Michael Jackson"
"126","good kid, m.A.A.d city","Kendrick Lamar"
"127","PTSD","G Herbo"
"128","2014 Forest Hills Drive","J. Cole"
"129","Colores","J Balvin"
"130","Evolve","Imagine Dragons"
"131","More Life","Drake"
"132","The Eminem Show","Eminem"
"133","Lamentations","American Aquarium"
"134","Baby On Baby","DaBaby"
"135","17","XXXTENTACION"
"136","Greatest Hits","Bob Seger & The Silver Bullet Band"
"137","~how i'm feeling~","Lauv"
"138","1989","Taylor Swift"
"139","Hot Rocks 1964-1971","The Rolling Stones"
"140","Greatest Hits","Red Hot Chili Peppers"
"141","NOW 74","Various Artists"
"142","Thriller","Michael Jackson"
"143","Doo-Wops & Hooligans","Bruno Mars"
"144","Ordinary Man","Ozzy Osbourne"
"145","Die A Legend","Polo G"
"146","X 100PRE","Bad Bunny"
"147","Ctrl","SZA"
"148","The Very Best Of Daryl Hall  John Oates","Daryl Hall John Oates"
"149","C A L M","5 Seconds Of Summer"
"150","Homesick (EP)","Trevor Daniel"
"151","Golden Hour","Kacey Musgraves"
"152","Blonde","Frank Ocean"
"153","Swimming","Mac Miller"
"154","50 Number Ones","George Strait"
"155","Nevermind","Nirvana"
"156","Birds Of Prey: The Album","Soundtrack"
"157","The Essential Elvis Presley","Elvis Presley"
"158","Number One Hits","Tim McGraw"
"159","We Love You Tecca","Lil Tecca"
"160","IGOR","Tyler, The Creator"
"161","I'm Him","Kevin Gates"
"162","Victory Lap","Nipsey Hussle"
"163","Championships","Meek Mill"
"164","Metallica","Metallica"
"165","x","Ed Sheeran"
"166","H.E.R.","H.E.R."
"167","A Star Is Born (Soundtrack)","Lady Gaga & Bradley Cooper"
"168","Reloaded: 20 #1 Hits","Blake Shelton"
"169","21","Adele"
"170","Drip Harder","Lil Baby & Gunna"
"171","Curtain Call: The Hits=","Eminem"
"172","Heartbreak Weather","Niall Horan"
"173","The Definitive Collection","Stevie Wonder"
"174","A Decade Of Destruction","Five Finger Death Punch"
"175","Blurryface","twenty one pilots"
"176","Chixtape 5","Tory Lanez"
"177","Born To Die","Lana Del Rey"
"178","Greatest Hits: The Ultimate Collection","Bon Jovi"
"179","Love Yourself: Answer","BTS"
"180","California Sunrise","Jon Pardi"
"181","Night Visions","Imagine Dragons"
"182","Greatest Hits","Fleetwood Mac"
"183","The Saga Of Wiz Khalifa","Wiz Khalifa"
"184","Making A Door Less Open","Car Seat Headrest"
"185","Perception","NF"
"186","Man On The Moon: The End Of Day","Kid Cudi"
"187","Nothing Was The Same","Drake"
"188","ANTI","Rihanna"
"189","Purgatory","Tyler Childers"
"190","Frozen: The Songs","Soundtrack"
"191","Quality Control: Control The Streets, Volume 2","Various Artists"
"192","Rearview Town","Jason Aldean"
"193","The Dark Side Of The Moon","Pink Floyd"
"194","Ella Mai","Ella Mai"
"195","The Essential Johnny Cash","Johnny Cash"
"196","Ticket To L.A.","Brett Young"
"197","Ultimate Sinatra","Frank Sinatra"
"198","Cosmic","Bazzi"
"199","Lady Like","Ingrid Andress"
"200","Sweetener","Ariana Grande"
