"rank","title","artist"
"1","After Hours","The Weeknd"
"2","Eternal Atake","Lil Uzi Vert"
"3","My Turn","Lil Baby"
"4","YHLQMDLG","Bad Bunny"
"5","Kid Krow","Conan Gray"
"6","Please Excuse Me For Being Antisocial","Roddy Ricch"
"7","Hollywood's Bleeding","Post Malone"
"8","Chilombo","Jhene Aiko"
"9","The Best Of Kenny Rogers: Through The Years","Kenny Rogers"
"10","Frozen II","Soundtrack"
"11","Changes","Justin Bieber"
"12","kelsea","Kelsea Ballerini"
"13","3.15.20","Childish Gambino"
"14","When We All Fall Asleep, Where Do We Go?","Billie Eilish"
"15","Colores","J Balvin"
"16","Suga","Megan Thee Stallion"
"17","Fine Line","Harry Styles"
"18","What You See Is What You Get","Luke Combs"
"19","Hot Pink","Doja Cat"
"20","Meet The Woo, V.2","Pop Smoke"
"21","Still Flexin, Still Steppin","YoungBoy Never Broke Again"
"22","Heaven Or Hell","Don Toliver"
"23","Music To Be Murdered By","Eminem"
"24","MAP OF THE SOUL : 7","BTS"
"25","Artist 2.0","A Boogie Wit da Hoodie"
"26","This One's For You","Luke Combs"
"27","Ghetto Gospel","Rod Wave"
"28","beerbongs & bentleys","Post Malone"
"29","KIRK","DaBaby"
"30","Lover","Taylor Swift"
"31","Goodbye & Good Riddance","Juice WRLD"
"32","Over It","Summer Walker"
"33","Manic","Halsey"
"34","Divinely Uninspired To A Hellish Extent","Lewis Capaldi"
"35","A Love Letter To You 4","Trippie Redd"
"36","Circles","Mac Miller"
"37","AI YoungBoy 2","YoungBoy Never Broke Again"
"38","If I Know Me","Morgan Wallen"
"39","Greatest Hits","Queen"
"40","Scorpion","Drake"
"41","Stoney","Post Malone"
"42","Death Race For Love","Juice WRLD"
"43","Dont Smile At Me","Billie Eilish"
"44","JACKBOYS","JACKBOYS"
"45","Romance","Camila Cabello"
"46","Cuz I Love You","Lizzo"
"47","Heartbreak Weather","Niall Horan"
"48","PTSD","G Herbo"
"49","So Much Fun","Young Thug"
"50","Melly vs. Melvin","YNW Melly"
"51","ASTROWORLD","Travis Scott"
"52","Diamonds","Elton John"
"53","Certified Hitmaker","Lil Mosey"
"54","?","XXXTENTACION"
"55","The Kids Are Coming (EP)","Tones And I"
"56","State Of Emergency","Money Man"
"57","Fully Loaded: God's Country","Blake Shelton"
"58","Free Spirit","Khalid"
"59","Indigo","Chris Brown"
"60","Sweet Action","Jack Harlow"
"61","1","The Beatles"
"62","C A L M","5 Seconds Of Summer"
"63","Legend: The Best Of...","Bob Marley And The Wailers"
"64","No.6 Collaborations Project","Ed Sheeran"
"65","Experiment","Kane Brown"
"66","Thank U, Next","Ariana Grande"
"67","÷ (Divide)","Ed Sheeran"
"68","~how i'm feeling~","Lauv"
"69","Hamilton: An American Musical","Original Broadway Cast"
"70","Rare","Selena Gomez"
"71","Chronicle The 20 Greatest Hits","Creedence Clearwater Revival"
"72","Perfect Ten","Mustard"
"73","7 (EP)","Lil Nas X"
"74","Time Served","Moneybagg Yo"
"75","Luv Is Rage 2","Lil Uzi Vert"
"76","Starboy","The Weeknd"
"77","American Teen","Khalid"
"78","Beauty Behind The Madness","The Weeknd"
"79","Moana","Soundtrack"
"80","True 2 Myself","Lil Tjay"
"81","Traveller","Chris Stapleton"
"82","Journey's Greatest Hits","Journey"
"83","Rumours","Fleetwood Mac"
"84","BOSS MAN","Rich The Kid"
"85","Shawn Mendes","Shawn Mendes"
"86","Invasion Of Privacy","Cardi B"
"87","Dreamville & J. Cole: Revenge Of The Dreamers III","Various Artists"
"88","Frozen","Soundtrack"
"89","VELVET","Adam Lambert"
"90","June 1976","Grateful Dead"
"91","Funeral","Lil Wayne"
"92","The Essential Billy Joel","Billy Joel"
"93","9","Jason Aldean"
"94","The Search","NF"
"95","Collection One","SAINt JHN"
"96","GIRL","Maren Morris"
"97","The Greatest Showman","Soundtrack"
"98","Ordinary Man","Ozzy Osbourne"
"99","Chixtape 5","Tory Lanez"
"100","Look Up Child","Lauren Daigle"
"101","Hoodie SZN","A Boogie Wit da Hoodie"
"102","NCT #127: Neo Zone, The 2nd Album","NCT 127"
"103","Baby On Baby","DaBaby"
"104","Dan + Shay","Dan + Shay"
"105","Homesick (EP)","Trevor Daniel"
"106","Abbey Road","The Beatles"
"107","Take Care","Drake"
"108","Greatest Hits","Tom Petty And The Heartbreakers"
"109","17","XXXTENTACION"
"110","50 Number Ones","George Strait"
"111","Old Dominion","Old Dominion"
"112","DAMN.","Kendrick Lamar"
"113","Greatest Hits","2Pac"
"114","We Love You Tecca","Lil Tecca"
"115","Ultimate Dolly Parton","Dolly Parton"
"116","Evolve","Imagine Dragons"
"117","ZOMBIES 2","Soundtrack"
"118","Views","Drake"
"119","Die A Legend","Polo G"
"120","Where The Light Is","Surfaces"
"121","I'm Him","Kevin Gates"
"122","Greatest Hits","Guns N' Roses"
"123","1989","Taylor Swift"
"124","Happiness Begins","Jonas Brothers"
"125","Skuba Sada 2","Sada Baby"
"126","Back In Black","AC/DC"
"127","Center Point Road","Thomas Rhett"
"128","2014 Forest Hills Drive","J. Cole"
"129","The Eminem Show","Eminem"
"130","A Written Testimony","Jay Electronica"
"131","A Star Is Born (Soundtrack)","Lady Gaga & Bradley Cooper"
"132","Championships","Meek Mill"
"133","35 Biggest Hits","Tim McGraw"
"134","American Standard","James Taylor"
"135","Kane Brown","Kane Brown"
"136","The Essential Michael Jackson","Michael Jackson"
"137","Greatest Hits So Far...","Zac Brown Band"
"138","More Life","Drake"
"139","Drip Harder","Lil Baby & Gunna"
"140","Home State","Jordan Davis"
"141","X 100PRE","Bad Bunny"
"142","Quality Control: Control The Streets, Volume 2","Various Artists"
"143","Their Greatest Hits 1971-1975","Eagles"
"144","Doo-Wops & Hooligans","Bruno Mars"
"145","Victory Lap","Nipsey Hussle"
"146","Greatest Hits","The Notorious B.I.G."
"147","Dropped Outta College","24kGoldn"
"148","Birds Of Prey: The Album","Soundtrack"
"149","Stella & Steve (EP)","BENEE"
"150","SHAKE THE SNOW GLOBE","Russ"
"151","good kid, m.A.A.d city","Kendrick Lamar"
"152","Birds In The Trap Sing McKnight","Travis Scott"
"153","Hot Rocks 1964-1971","The Rolling Stones"
"154","Perception","NF"
"155","Greatest Hits","Red Hot Chili Peppers"
"156","H.E.R.","H.E.R."
"157","In The Lonely Hour","Sam Smith"
"158","Cosmic","Bazzi"
"159","The Essential Elvis Presley","Elvis Presley"
"160","The Slow Rush","Tame Impala"
"161","Blonde","Frank Ocean"
"162","Ella Mai","Ella Mai"
"163","Ctrl","SZA"
"164","reputation","Taylor Swift"
"165","Life's A Trip","Trippie Redd"
"166","IGOR","Tyler, The Creator"
"167","Swimming","Mac Miller"
"168","Until Death Call My Name","YoungBoy Never Broke Again"
"169","Blurryface","twenty one pilots"
"170","The Very Best Of Daryl Hall  John Oates","Daryl Hall John Oates"
"171","Night Visions","Imagine Dragons"
"172","Sounds Of Summer: The Very Best Of The Beach Boys","The Beach Boys"
"173","F8","Five Finger Death Punch"
"174","Golden Hour","Kacey Musgraves"
"175","x","Ed Sheeran"
"176","Thriller","Michael Jackson"
"177","Feed Tha Streets II","Roddy Ricch"
"178","21","Adele"
"179","A Decade Of Destruction","Five Finger Death Punch"
"180","T R A P S O U L","Bryson Tiller"
"181","Nothing Was The Same","Drake"
"182","Rearview Town","Jason Aldean"
"183","Reloaded: 20 #1 Hits","Blake Shelton"
"184","Greatest Hits","Bob Seger & The Silver Bullet Band"
"185","Greatest Hits: The Ultimate Collection","Bon Jovi"
"186","Love Yourself: Answer","BTS"
"187","ANTI","Rihanna"
"188","Ultimate Sinatra","Frank Sinatra"
"189","Greetings From... Jake Owen","Jake Owen"
"190","Daytime Friends: The Very Best Of Kenny Rogers","Kenny Rogers"
"191","I Am > I Was","21 Savage"
"192","Nevermind","Nirvana"
"193","Pray For The Wicked","Panic! At The Disco"
"194","California Sunrise","Jon Pardi"
"195","Sweetener","Ariana Grande"
"196","Fuck The World","Brent Faiyaz"
"197","The Beatles [White Album]","The Beatles"
"198","Harder Than Ever","Lil Baby"
"199","The Definitive Collection","Stevie Wonder"
"200","BALLADS 1","Joji"
