"rank","title","artist"
"1","Changes","Justin Bieber"
"2","Artist 2.0","A Boogie Wit da Hoodie"
"3","The Slow Rush","Tame Impala"
"4","Please Excuse Me For Being Antisocial","Roddy Ricch"
"5","ALL ABOUT LUV","MONSTA X"
"6","Hollywood's Bleeding","Post Malone"
"7","When We All Fall Asleep, Where Do We Go?","Billie Eilish"
"8","Meet The Woo, V.2","Pop Smoke"
"9","Music To Be Murdered By","Eminem"
"10","Manic","Halsey"
"11","Frozen II","Soundtrack"
"12","KIRK","DaBaby"
"13","Fine Line","Harry Styles"
"14","Lover","Taylor Swift"
"15","Funeral","Lil Wayne"
"16","What You See Is What You Get","Luke Combs"
"17","JACKBOYS","JACKBOYS"
"18","Over It","Summer Walker"
"19","Cuz I Love You","Lizzo"
"20","AI YoungBoy 2","YoungBoy Never Broke Again"
"21","Ghetto Gospel","Rod Wave"
"22","Dont Smile At Me","Billie Eilish"
"23","beerbongs & bentleys","Post Malone"
"24","Divinely Uninspired To A Hellish Extent","Lewis Capaldi"
"25","So Much Fun","Young Thug"
"26","No Future","EDEN"
"27","Goodbye & Good Riddance","Juice WRLD"
"28","Romance","Camila Cabello"
"29","This One's For You","Luke Combs"
"30","Stop Staring At The Shadows","$uicideBoy$"
"31","Greatest Hits","Queen"
"32","Night Songs II","Barry Manilow"
"33","Time Served","Moneybagg Yo"
"34","Death Race For Love","Juice WRLD"
"35","Scorpion","Drake"
"36","A Love Letter To You 4","Trippie Redd"
"37","ASTROWORLD","Travis Scott"
"38","Hot Pink","Doja Cat"
"39","No.6 Collaborations Project","Ed Sheeran"
"40","The Kids Are Coming (EP)","Tones And I"
"41","Circles","Mac Miller"
"42","Stoney","Post Malone"
"43","Indigo","Chris Brown"
"44","ZOMBIES 2","Soundtrack"
"45","Rare","Selena Gomez"
"46","Diamonds","Elton John"
"47","Perfect Ten","Mustard"
"48","7 (EP)","Lil Nas X"
"49","Free Spirit","Khalid"
"50","Thank U, Next","Ariana Grande"
"51","Fully Loaded: God's Country","Blake Shelton"
"52","If I Know Me","Morgan Wallen"
"53","Dreamville & J. Cole: Revenge Of The Dreamers III","Various Artists"
"54","?","XXXTENTACION"
"55","÷ (Divide)","Ed Sheeran"
"56","Untrapped","Yo Gotti"
"57","Hamilton: An American Musical","Original Broadway Cast"
"58","Melly vs. Melvin","YNW Melly"
"59","True 2 Myself","Lil Tjay"
"60","Curtain Call: The Hits=","Eminem"
"61","Fuck The World","Brent Faiyaz"
"62","American Teen","Khalid"
"63","Birds Of Prey: The Album","Soundtrack"
"64","Hoodie SZN","A Boogie Wit da Hoodie"
"65","Hecho En Mexico","Alejandro Fernandez"
"66","Shawn Mendes","Shawn Mendes"
"67","Chronicle The 20 Greatest Hits","Creedence Clearwater Revival"
"68","SHAKE THE SNOW GLOBE","Russ"
"69","Baby On Baby","DaBaby"
"70","Traveller","Chris Stapleton"
"71","Weather","Huey Lewis And The News"
"72","The Search","NF"
"73","Carly Pearce","Carly Pearce"
"74","Legend: The Best Of...","Bob Marley And The Wailers"
"75","We Love You Tecca","Lil Tecca"
"76","Yellow Tape","Key Glock"
"77","Luv Is Rage 2","Lil Uzi Vert"
"78","And It’s Still Alright","Nathaniel Rateliff"
"79","Homesick (EP)","Trevor Daniel"
"80","Experiment","Kane Brown"
"81","Journey's Greatest Hits","Journey"
"82","Look Up Child","Lauren Daigle"
"83","GIRL","Maren Morris"
"84","Invasion Of Privacy","Cardi B"
"85","1","The Beatles"
"86","Abbey Road","The Beatles"
"87","DAMN.","Kendrick Lamar"
"88","Dan + Shay","Dan + Shay"
"89","Rumours","Fleetwood Mac"
"90","Starboy","The Weeknd"
"91","IGOR","Tyler, The Creator"
"92","Happiness Begins","Jonas Brothers"
"93","Beauty Behind The Madness","The Weeknd"
"94","Frozen","Soundtrack"
"95","Take Care","Drake"
"96","The Greatest Showman","Soundtrack"
"97","Quality Control: Control The Streets, Volume 2","Various Artists"
"98","X 100PRE","Bad Bunny"
"99","Hopeless Romantic","Tink"
"100","Die A Legend","Polo G"
"101","Moana","Soundtrack"
"102","2014 Forest Hills Drive","J. Cole"
"103","1989","Taylor Swift"
"104","Championships","Meek Mill"
"105","Greatest Hits","2Pac"
"106","Greatest Hits","Tom Petty And The Heartbreakers"
"107","Views","Drake"
"108","Old Dominion","Old Dominion"
"109","good kid, m.A.A.d city","Kendrick Lamar"
"110","A Star Is Born (Soundtrack)","Lady Gaga & Bradley Cooper"
"111","Father Of All...","Green Day"
"112","I'm Him","Kevin Gates"
"113","9","Jason Aldean"
"114","17","XXXTENTACION"
"115","Evolve","Imagine Dragons"
"116","Drip Harder","Lil Baby & Gunna"
"117","Doo-Wops & Hooligans","Bruno Mars"
"118","Back In Black","AC/DC"
"119","Greatest Hits","The Notorious B.I.G."
"120","Victory Lap","Nipsey Hussle"
"121","Chixtape 5","Tory Lanez"
"122","More Life","Drake"
"123","Birds In The Trap Sing McKnight","Travis Scott"
"124","reputation","Taylor Swift"
"125","New Empire, One","Hollywood Undead"
"126","H.E.R.","H.E.R."
"127","The Essential Michael Jackson","Michael Jackson"
"128","Ctrl","SZA"
"129","In The Lonely Hour","Sam Smith"
"130","Appetite For Destruction","Guns N' Roses"
"131","Fire & Brimstone","Brantley Gilbert"
"132","Easy Money Baby","Myke Towers"
"133","Kane Brown","Kane Brown"
"134","Ultimate Sinatra","Frank Sinatra"
"135","Perception","NF"
"136","Badazz MO3","Boosie Badazz & MO3"
"137","Nevermind","Nirvana"
"138","Life's A Trip","Trippie Redd"
"139","Swimming","Mac Miller"
"140","Hot Rocks 1964-1971","The Rolling Stones"
"141","Greatest Hits","Bob Seger & The Silver Bullet Band"
"142","Their Greatest Hits 1971-1975","Eagles"
"143","Thriller","Michael Jackson"
"144","Born To Die","Lana Del Rey"
"145","Feed Tha Streets II","Roddy Ricch"
"146","Metallica","Metallica"
"147","Nibiru","Ozuna"
"148","The Essential Elvis Presley","Elvis Presley"
"149","I Am > I Was","21 Savage"
"150","21","Adele"
"151","Center Point Road","Thomas Rhett"
"152","Ella Mai","Ella Mai"
"153","The Essential Billy Joel","Billy Joel"
"154","x","Ed Sheeran"
"155","Cosmic","Bazzi"
"156","Harder Than Ever","Lil Baby"
"157","Blurryface","twenty one pilots"
"158","Currents","Tame Impala"
"159","Golden Hour","Kacey Musgraves"
"160","Pray For The Wicked","Panic! At The Disco"
"161","A Decade Of Destruction","Five Finger Death Punch"
"162","Nothing Was The Same","Drake"
"163","ANTI","Rihanna"
"164","T R A P S O U L","Bryson Tiller"
"165","Greatest Hits So Far...","Zac Brown Band"
"166","Until Death Call My Name","YoungBoy Never Broke Again"
"167","GINGER","BrockHampton"
"168","BALLADS 1","Joji"
"169","Blonde","Frank Ocean"
"170","Sounds Of Summer: The Very Best Of The Beach Boys","The Beach Boys"
"171","24K Magic","Bruno Mars"
"172","Flower Boy","Tyler, The Creator"
"173","High School Musical: The Musical, The Series","Soundtrack"
"174","The Very Best Of Daryl Hall  John Oates","Daryl Hall John Oates"
"175","Sweetener","Ariana Grande"
"176","Night Visions","Imagine Dragons"
"177","Culture II","Migos"
"178","Die Lit","Playboi Carti"
"179","Meet The Woo, V. 1 Mixtape","Pop Smoke"
"180","Tha Carter V","Lil Wayne"
"181","Norman Fucking Rockwell!","Lana Del Rey"
"182","Greatest Hits: The Ultimate Collection","Bon Jovi"
"183","Tullahoma","Dustin Lynch"
"184","Treat Myself","Meghan Trainor"
"185","Purpose","Justin Bieber"
"186","Dropped Outta College","24kGoldn"
"187","Kamikaze","Eminem"
"188","Baby Gravy II","Yung Gravy & bbno$"
"189","Rage Against The Machine","Rage Against The Machine"
"190","I Will Always Love You: The Best Of Whitney Houston","Whitney Houston"
"191","Dying To Live","Kodak Black"
"192","Oasis","J Balvin & Bad Bunny"
"193","Bad Boys For Life: The Soundtrack","Soundtrack"
"194","Rearview Town","Jason Aldean"
"195","Wow... That's Crazy","Wale"
"196","Last Of The Street Survivors Farewell Tour Lyve!","Lynyrd Skynyrd"
"197","World War Joy","The Chainsmokers"
"198","I Am You","YNW Melly"
"199","The Definitive Collection","Stevie Wonder"
"200","Greatest Hits","Fleetwood Mac"
