"rank","title","artist"
"1","Music To Be Murdered By","Eminem"
"2","Manic","Halsey"
"3","Circles","Mac Miller"
"4","Please Excuse Me For Being Antisocial","Roddy Ricch"
"5","Hollywood's Bleeding","Post Malone"
"6","Rare","Selena Gomez"
"7","Time Served","Moneybagg Yo"
"8","KIRK","DaBaby"
"9","Fine Line","Harry Styles"
"10","When We All Fall Asleep, Where Do We Go?","Billie Eilish"
"11","Frozen II","Soundtrack"
"12","Dreamville & J. Cole: Revenge Of The Dreamers III","Various Artists"
"13","Nightfall","Little Big Town"
"14","JACKBOYS","JACKBOYS"
"15","So Much Fun","Young Thug"
"16","Over It","Summer Walker"
"17","Ghetto Gospel","Rod Wave"
"18","AI YoungBoy 2","YoungBoy Never Broke Again"
"19","A Love Letter To You 4","Trippie Redd"
"20","What You See Is What You Get","Luke Combs"
"21","Goodbye & Good Riddance","Juice WRLD"
"22","Lover","Taylor Swift"
"23","How To Be Human","Chelsea Cutler"
"24","Romance","Camila Cabello"
"25","beerbongs & bentleys","Post Malone"
"26","Death Race For Love","Juice WRLD"
"27","Divinely Uninspired To A Hellish Extent","Lewis Capaldi"
"28","No.6 Collaborations Project","Ed Sheeran"
"29","RICH YOUNGIN","Stunna 4 Vegas"
"30","Melly vs. Melvin","YNW Melly"
"31","Perfect Ten","Mustard"
"32","Scorpion","Drake"
"33","Dont Smile At Me","Billie Eilish"
"34","Indigo","Chris Brown"
"35","The Kids Are Coming (EP)","Tones And I"
"36","Greatest Hits","Queen"
"37","This One's For You","Luke Combs"
"38","Tullahoma","Dustin Lynch"
"39","ASTROWORLD","Travis Scott"
"40","Hot Pink","Doja Cat"
"41","Cuz I Love You","Lizzo"
"42","Fully Loaded: God's Country","Blake Shelton"
"43","Stoney","Post Malone"
"44","Free Spirit","Khalid"
"45","7 (EP)","Lil Nas X"
"46","True 2 Myself","Lil Tjay"
"47","?","XXXTENTACION"
"48","Diamonds","Elton John"
"49","We Love You Tecca","Lil Tecca"
"50","Thank U, Next","Ariana Grande"
"51","Baby On Baby","DaBaby"
"52","Hamilton: An American Musical","Original Broadway Cast"
"53","If I Know Me","Morgan Wallen"
"54","High School Musical: The Musical, The Series","Soundtrack"
"55","Happiness Begins","Jonas Brothers"
"56","The Search","NF"
"57","Swimming","Mac Miller"
"58","÷ (Divide)","Ed Sheeran"
"59","Shawn Mendes","Shawn Mendes"
"60","Quality Control: Control The Streets, Volume 2","Various Artists"
"61","Hoodie SZN","A Boogie Wit da Hoodie"
"62","American Teen","Khalid"
"63","Bad Boys For Life: The Soundtrack","Soundtrack"
"64","Luv Is Rage 2","Lil Uzi Vert"
"65","Homesick (EP)","Trevor Daniel"
"66","Frozen","Soundtrack"
"67","Invasion Of Privacy","Cardi B"
"68","Look Up Child","Lauren Daigle"
"69","Dan + Shay","Dan + Shay"
"70","Die A Legend","Polo G"
"71","GIRL","Maren Morris"
"72","Chronicle The 20 Greatest Hits","Creedence Clearwater Revival"
"73","Experiment","Kane Brown"
"74","DAMN.","Kendrick Lamar"
"75","Journey's Greatest Hits","Journey"
"76","Chixtape 5","Tory Lanez"
"77","Traveller","Chris Stapleton"
"78","The Greatest Showman","Soundtrack"
"79","1","The Beatles"
"80","QPac","Quando Rondo"
"81","Championships","Meek Mill"
"82","Abbey Road","The Beatles"
"83","I'm Him","Kevin Gates"
"84","Take Care","Drake"
"85","X 100PRE","Bad Bunny"
"86","Moana","Soundtrack"
"87","Rumours","Fleetwood Mac"
"88","The Essential Billy Joel","Billy Joel"
"89","Drip Harder","Lil Baby & Gunna"
"90","Grammy 2020 Nominees","Various Artists"
"91","Old Dominion","Old Dominion"
"92","Views","Drake"
"93","17","XXXTENTACION"
"94","Starboy","The Weeknd"
"95","GINGER","BrockHampton"
"96","Beauty Behind The Madness","The Weeknd"
"97","The Eminem Show","Eminem"
"98","Legend: The Best Of...","Bob Marley And The Wailers"
"99","2014 Forest Hills Drive","J. Cole"
"100","Evolve","Imagine Dragons"
"101","Greatest Hits","2Pac"
"102","Greatest Hits","Tom Petty And The Heartbreakers"
"103","9","Jason Aldean"
"104","A Star Is Born (Soundtrack)","Lady Gaga & Bradley Cooper"
"105","Feed Tha Streets II","Roddy Ricch"
"106","Kamikaze","Eminem"
"107","good kid, m.A.A.d city","Kendrick Lamar"
"108","More Life","Drake"
"109","Back In Black","AC/DC"
"110","Perception","NF"
"111","Greatest Hits","Guns N' Roses"
"112","JESUS IS KING (Soundtrack)","Kanye West"
"113","Birds In The Trap Sing McKnight","Travis Scott"
"114","Love Yourself: Answer","BTS"
"115","Victory Lap","Nipsey Hussle"
"116","Life's A Trip","Trippie Redd"
"117","I Am > I Was","21 Savage"
"118","Cottonwood","NLE Choppa"
"119","Greatest Hits","The Notorious B.I.G."
"120","1989","Taylor Swift"
"121","Wow... That's Crazy","Wale"
"122","H.E.R.","H.E.R."
"123","Kane Brown","Kane Brown"
"124","Ella Mai","Ella Mai"
"125","IGOR","Tyler, The Creator"
"126","Harder Than Ever","Lil Baby"
"127","The Essential Michael Jackson","Michael Jackson"
"128","Ctrl","SZA"
"129","Pray For The Wicked","Panic! At The Disco"
"130","Center Point Road","Thomas Rhett"
"131","World War Joy","The Chainsmokers"
"132","T R A P S O U L","Bryson Tiller"
"133","I Am You","YNW Melly"
"134","Blonde","Frank Ocean"
"135","Metallica","Metallica"
"136","Their Greatest Hits 1971-1975","Eagles"
"137","Fever","Megan Thee Stallion"
"138","x","Ed Sheeran"
"139","Until Death Call My Name","YoungBoy Never Broke Again"
"140","The Essential Elvis Presley","Elvis Presley"
"141","Doo-Wops & Hooligans","Bruno Mars"
"142","El Dorado","Marcus King"
"143","Die Lit","Playboi Carti"
"144","Certified Hitmaker","Lil Mosey"
"145","Greatest Hits","Bob Seger & The Silver Bullet Band"
"146","21","Adele"
"147","Ultimate Sinatra","Frank Sinatra"
"148","A Decade Of Destruction","Five Finger Death Punch"
"149","Cosmic","Bazzi"
"150","In The Lonely Hour","Sam Smith"
"151","Sweetener","Ariana Grande"
"152","Map Of The Soul: PERSONA","BTS"
"153","Blurryface","twenty one pilots"
"154","Ocean","Lady Antebellum"
"155","Thriller","Michael Jackson"
"156","Curtain Call: The Hits=","Eminem"
"157","Tha Carter V","Lil Wayne"
"158","Nothing Was The Same","Drake"
"159","ANTI","Rihanna"
"160","Night Visions","Imagine Dragons"
"161","Nevermind","Nirvana"
"162","Greatest Hits So Far...","Zac Brown Band"
"163","hopeless fountain kingdom","Halsey"
"164","Marshmello: Fortnite Extended Set","Marshmello"
"165","BALLADS 1","Joji"
"166","Dying To Live","Kodak Black"
